date,name,value
2002-10-31,q_16936,-0.15602914358201167
2002-10-31,q_16938,-0.9999142337768736
2002-11-30,q_17012,-0.7277659877699378
2002-11-30,q_17084,-0.8099636894501138
2002-11-30,q_16924,-0.5526957925031365
2002-11-30,q_17461,-0.04225553169952115
2002-11-30,q_16936,-0.5469814420813062
2002-11-30,q_16938,-1.032158485720421
2002-12-31,q_17012,-0.9104961207165312
2002-12-31,q_17084,-1.01034838173422
2002-12-31,q_16924,-0.7820580648228246
2002-12-31,q_17461,-0.6697428326873439
2002-12-31,q_16936,-0.7272469235767398
2002-12-31,q_16938,-0.5649023491425246
2003-01-31,q_17012,-1.0469197222168818
2003-01-31,q_17084,-1.130301181384489
2003-01-31,q_16924,-0.9545874241974209
2003-01-31,q_17461,-0.894448247723928
