name,date,swe_month
V10,2016-07-01,89018.88495463709
V10,2016-08-01,63462.2308467742
V10,2016-09-01,4079.5681857426957
V10,2016-10-01,105355.90448588708
V10,2016-11-01,358438.2432291667
V10,2016-12-01,808616.4112903227
V10,2017-01-01,1055699.8447580645
V10,2017-02-01,1253028.5044642857
V10,2017-03-01,1607595.7096774194
V10,2017-04-01,1821176.425
V10,2017-05-01,1242995.247983871
V10,2017-06-01,371805.9505208334
V10,2017-07-01,112855.17804939514
V10,2017-08-01,26576.8767641129
V10,2017-09-01,15754.427900950119
V10,2017-10-01,119521.73135080645
V10,2017-11-01,165149.80546875
V10,2017-12-01,239466.65524193546
V10,2018-01-01,413394.36895161297
V10,2018-02-01,610465.7321428572
V10,2018-03-01,745712.9778225806
V10,2018-04-01,855478.975
V10,2018-05-01,765885.7399193548
V10,2018-06-01,423338.39427083335
V10,2018-07-01,121905.98097278227
V10,2018-08-01,31886.47549143145
V10,2018-09-01,21332.293163553873
V10,2018-10-01,49524.971144153234
V10,2018-11-01,191971.384375
V10,2018-12-01,354906.04737903224
V10,2019-01-01,444911.57157258067
V10,2019-02-01,500907.27566964284
V10,2019-03-01,492963.0030241936
V10,2019-04-01,495108.509375
V10,2019-05-01,542939.9616935484
V10,2019-06-01,313998.0098958333
V10,2019-07-01,91419.2486139113
V10,2019-08-01,25026.3800718246
V10,2019-09-01,27438.48752562205
V10,2019-10-01,65255.77066532258
V10,2019-11-01,69664.01119791667
V10,2019-12-01,131477.18976814518
V10,2020-01-01,238541.70715725806
V10,2020-02-01,285722.8863146552
V10,2020-03-01,356656.37298387097
V10,2020-04-01,422211.778125
V10,2020-05-01,358716.33366935485
V10,2020-06-01,244332.63020833334
V10,2020-07-01,212931.95766129033
V10,2020-08-01,134439.26990927418
V10,2020-09-01,44793.250356419885
V10,2020-10-01,160830.33215725806
V10,2020-11-01,208863.9109375
V10,2020-12-01,275562.1950604839
V10,2021-01-01,308358.63407258067
V10,2021-02-01,406445.40848214284
V10,2021-03-01,587418.2782258064
V10,2021-04-01,779023.8958333334
V10,2021-05-01,438371.74899193546
V10,2021-06-01,216398.915625
V10,2021-07-01,94723.14768145159
V10,2021-08-01,32414.79964717742
V10,2021-09-01,347.9213164289792
V10,2021-10-01,147101.8140672253
V10,2021-11-01,182759.16197916667
V10,2021-12-01,218939.0640120968
V10,2022-01-01,244970.53780241936
V10,2022-02-01,301258.54073660716
V10,2022-03-01,635955.2540322582
V10,2022-04-01,733896.9791666667
V10,2022-05-01,501991.8185483871
V10,2022-06-01,480262.1697916666
V10,2022-07-01,129043.82900705647
V10,2022-08-01,41114.86517137097
V2,2001-01-01,1358782
V2,2001-02-01,1651900.642857143
V2,2001-03-01,1781266.5322580645
V2,2001-04-01,1646995.8583333334
V2,2001-05-01,812862.0141129034
V2,2001-06-01,68744.34208984376
V2,2001-07-01,7171.684145035283
V2,2001-08-01,2833.1218497983873
V2,2001-09-01,7781.483278361957
V2,2001-10-01,154057.57861328125
V2,2001-11-01,527203.8604166667
V2,2001-12-01,1182400.2661290322
V2,2002-01-01,1594366.0766129033
V2,2002-02-01,1863577.357142857
V2,2002-03-01,1987520.4798387096
V2,2002-04-01,1808132.7416666667
V2,2002-05-01,1353598.689516129
V2,2002-06-01,408766.3601562499
V2,2002-07-01,28401.301663306447
V2,2002-08-01,8185.837985131048
V2,2002-09-01,1192.812632449468
V2,2002-10-01,56176.79052389823
V2,2002-11-01,145530.35651041666
V2,2002-12-01,697358.0282258063
V2,2003-01-01,1140962.6411290322
V2,2003-02-01,1532387.59375
V2,2003-03-01,2262206.2016129033
V2,2003-04-01,2636763.1333333333
V2,2003-05-01,2052854.7983870965
V2,2003-06-01,582607.9114583333
V2,2003-07-01,44294.24231350807
V2,2003-08-01,11599.971049647178
V2,2003-09-01,4107.727419884999
V2,2003-10-01,42762.14458637853
V2,2003-11-01,399514.89140624995
V2,2003-12-01,822285.2459677419
V2,2004-01-01,1142723.1411290322
V2,2004-02-01,1607395.0086206896
V2,2004-03-01,2433892.3991935486
V2,2004-04-01,2332373.2625
V2,2004-05-01,1389156.310483871
V2,2004-06-01,448630.58411458344
V2,2004-07-01,30577.186649445568
V2,2004-08-01,11542.570974042339
V2,2004-09-01,925.4725171407064
V2,2004-10-01,35261.17107169858
V2,2004-11-01,206847.11874999997
V2,2004-12-01,612644.2177419355
V2,2005-01-01,1039641.8850806451
V2,2005-02-01,1652971.674107143
V2,2005-03-01,1652207.6048387096
V2,2005-04-01,1820911.8916666666
V2,2005-05-01,755853.0100806451
V2,2005-06-01,238916.69759114584
V2,2005-07-01,10154.003134450604
V2,2005-08-01,4023.2611674647173
V2,2005-09-01,2292.7615206624064
V2,2005-10-01,28665.92306420111
V2,2005-11-01,133030.7076822917
V2,2005-12-01,497156.1018145161
V2,2006-01-01,963926.8387096773
V2,2006-02-01,1973894.263392857
V2,2006-03-01,2298099.10483871
V2,2006-04-01,2151707.9375
V2,2006-05-01,770796.2646169355
V2,2006-06-01,102350.25618489583
V2,2006-07-01,14855.631111391129
V2,2006-08-01,4845.434885332663
V2,2006-09-01,1151.3748262723284
V2,2006-10-01,44150.94773027973
V2,2006-11-01,139882.63489583333
V2,2006-12-01,280496.3674395161
V2,2007-01-01,384965.67137096776
V2,2007-02-01,481004.61383928574
V2,2007-03-01,685154.6915322581
V2,2007-04-01,732603.7885416667
V2,2007-05-01,207462.85635080648
V2,2007-06-01,51201.287565104154
V2,2007-07-01,10910.065571446574
V2,2007-08-01,4508.467986076108
V2,2007-09-01,589.9986085693042
V2,2007-10-01,24365.29865486391
V2,2007-11-01,102165.1513020833
V2,2007-12-01,537775.0015120967
V2,2008-01-01,1022203.1875
V2,2008-02-01,1224373.4051724137
V2,2008-03-01,1505591.625
V2,2008-04-01,1525313.1875
V2,2008-05-01,606515.84375
V2,2008-06-01,21638.579882812493
V2,2008-07-01,2270.943276436099
V2,2008-08-01,26.058290819967944
V2,2008-09-01,767.0659824967383
V2,2008-10-01,48137.75316201486
V2,2008-11-01,307974.73411458335
V2,2008-12-01,541897.2620967741
V2,2009-01-01,1244761.564516129
V2,2009-02-01,1475187.330357143
V2,2009-03-01,1888746.3709677418
V2,2009-04-01,1596917.8125
V2,2009-05-01,1436336.5161290322
V2,2009-06-01,576412.1098958333
V2,2009-07-01,105259.6050907258
V2,2009-08-01,17075.624464465727
V2,2009-09-01,4553.615821838379
V2,2009-10-01,15865.056981240554
V2,2009-11-01,241279.41028645835
V2,2009-12-01,606777.5786290322
V2,2010-01-01,1204694.3911290325
V2,2010-02-01,2317916.316964286
V2,2010-03-01,3058955.120967742
V2,2010-04-01,2867706.8916666666
V2,2010-05-01,1463300.4637096773
